CUPS;PERIODO;POTENCIA CONTRATADA (kW)
ES0339000001060181AX;1;4,4
ES0339000001060182AB;1;1,1
ES0339000001060183AN;1;4,6
ES0339000001060183AN;2;4,6
ES0339000001060184AJ;1;4,6
ES0339000001060185AZ;1;3,3
ES0339000001060186AS;1;4,6
ES0339000001060187AQ;1;4,4
ES0339000001060189AH;1;2,3
ES0339000001060190AL;1;2,2
ES0339000001060191AC;1;4,6
ES0339000001060192AK;1;4,4
ES0339000001060193AE;1;2,3
ES0339000001060194GT;1;4,6
ES0339000001060195GR;1;6,57
ES0339000001060196GW;1;4,4
ES0339000001060197GA;1;3,45
ES0339000001060199GM;1;5,5
ES0339000001060200GY;1;1,15
ES0339000001060201GF;1;1,1
ES0339000001060202GP;1;4,4
ES0339000001060203GD;1;4,4
ES0339000001060204GX;1;4,4
ES0339000001060205GB;1;4,4
ES0339000001060206GN;1;4,6
ES0339000001060207GJ;1;4,4
ES0339000001060208GZ;1;4,6
ES0339000001060209GS;1;4,4
ES0339000001060211GV;1;4,4
ES0339000001060212GH;1;4,4
ES0339000001060213GL;1;4,6
ES0339000001060214GC;1;4,4
ES0339000001060215GK;1;4,6
ES0339000001060216GE;1;4,6
ES0339000001060217MT;1;4,6
ES0339000001061003QG;1;4,4
ES0339000001061004QM;1;4,6
ES0339000001061006QF;1;2,2
ES0339000001061008QD;1;4,4
ES0339000001061009QX;1;6,92
ES0339000001061009QX;2;6,92
ES0339000001061010QB;1;4,4
ES0339000001061011QN;1;10,39
ES0339000001061011QN;2;10,39
ES0339000001061012QJ;1;17,32
ES0339000001061012QJ;2;17,32
ES0339000001061012QJ;3;17,32
ES0339000001061013QZ;1;4,6
ES0339000001061014QS;1;4,6
ES0339000001061016QV;1;3,29
ES0339000001061017QH;1;4,4
ES0339000001061018QL;1;3,81
ES0339000001061019QC;1;5,75
ES0339000001061020QK;1;4,6
ES0339000001061021QE;1;5,19
ES0339000001061022VT;1;4,4
ES0339000001061023VR;1;6,92
ES0339000001061024VW;1;5,75
ES0339000001061025VA;1;2,2
ES0339000001061027VM;1;4,6
ES0339000001061028VY;1;3,29
ES0339000001061029VF;1;4,6
ES0339000001061030VP;1;3,3
ES0339000001061031VD;1;2,43
ES0339000001061032VX;1;1,15
ES0339000001061033VB;1;15,01
ES0339000001061033VB;2;15,01
ES0339000001061033VB;3;15,01
ES0339000001061034VN;1;5,75
ES0339000001061035VJ;1;25
ES0339000001061035VJ;2;25
ES0339000001061035VJ;3;25
ES0339000001061036VZ;1;2,2
ES0339000001061037VS;1;2,3
ES0339000001061038VQ;1;3,3
ES0339000001061039VV;1;4,4
ES0339000001061040VH;1;2,3
ES0339000001061041VL;1;4,4
ES0339000001061042VC;1;2,2
ES0339000001061043VK;1;1,15
ES0339000001061044VE;1;2,2
ES0339000001061045HT;1;3,45
ES0339000001061046HR;1;3,29
ES0339000001061047HW;1;4,4
ES0339000001061048HA;1;10,39
ES0339000001061048HA;2;10,39
ES0339000001061049HG;1;4,4
ES0339000001061050HM;1;4,4
ES0339000001061052HF;1;3,3
ES0339000001061054HD;1;1,15
ES0339000001061055HX;1;6,9
ES0339000001061056HB;1;6,9
ES0339000001061057HN;1;1,97
ES0339000001061058HJ;1;1,15
ES0339000001061059HZ;1;3,45
ES0339000001061060HS;1;3,3
ES0339000001061061HQ;1;4,6
ES0339000001061062HV;1;3,45
ES0339000001061063HH;1;2,2
ES0339000001061064HL;1;4,4
ES0339000001061065HC;1;4,6
ES0339000001061066HK;1;5,5
ES0339000001061067HE;1;4,4
ES0339000001061068LT;1;4,4
ES0339000001061070LW;1;2,2
ES0339000001061071LA;1;1,15
ES0339000001061072LG;1;4,6
ES0339000001061073LM;1;4,4
ES0339000001061074LY;1;4,4
ES0339000001061075LF;1;4,4
ES0339000001061076LP;1;2,3
ES0339000001061077LD;1;4,6
ES0339000001061079LB;1;6,92
ES0339000001061080LN;1;2,2
ES0339000001061081LJ;1;3,3
ES0339000001061082LZ;1;4,4
ES0339000001061083LS;1;4,4
ES0339000001061084LQ;1;6,6
ES0339000001061085LV;1;4,6
ES0339000001061086LH;1;1,15
ES0339000001061087LL;1;3,3
ES0339000001061088LC;1;4,4
ES0339000001061089LK;1;3,3
ES0339000001061090LE;1;3,3
ES0339000001061091CT;1;2,3
ES0339000001061092CR;1;3,3
ES0339000001061093CW;1;3,3
ES0339000001061094CA;1;3,45
ES0339000001061096CM;1;4,4
ES0339000001061098CF;1;3,3
ES0339000001061099CP;1;4,6
ES0339000001061100CD;1;5,5
ES0339000001061101CX;1;4,6
ES0339000001061101CX;2;4,6
ES0339000001061102CB;1;2,3
ES0339000001061104CJ;1;2,3
ES0339000001061105CZ;1;4,4
ES0339000001061106CS;1;6,92
ES0339000001061108CV;1;4,4
ES0339000001061109CH;1;3,45
ES0339000001061110CL;1;3,3
ES0339000001061111CC;1;9,86
ES0339000001061112CK;1;5,19
ES0339000001061112CK;2;5,19
ES0339000001061113CE;1;13,15
ES0339000001061114KT;1;6,92
ES0339000001061115KR;1;4,4
ES0339000001061116KW;1;5,19
ES0339000001061117KA;1;6,57
ES0339000001061118KG;1;5,19
ES0339000001061118KG;2;5,19
ES0339000001061119KM;1;4,6
ES0339000001061120KY;1;4,4
ES0339000001061121KF;1;3,3
ES0339000001061122KP;1;4,4
ES0339000001061123KD;1;5,2
ES0339000001061123KD;2;5,2
ES0339000001061124KX;1;3,3
ES0339000001061125KB;1;11,42
ES0339000001061126KN;1;9,86
ES0339000001061127KJ;1;5,75
ES0339000001061128KZ;1;4,6
ES0339000001061129KS;1;4,4
ES0339000001061130KQ;1;4,6
ES0339000001061131KV;1;4,4
ES0339000001061132KH;1;1,15
ES0339000001061133KL;1;3,46
ES0339000001061134KC;1;4,6
ES0339000001061135KK;1;4,6
ES0339000001061136KE;1;4,4
ES0339000001061139EW;1;6,92
ES0339000001061140EA;1;4,4
ES0339000001061141EG;1;4,4
ES0339000001061142EM;1;4,4
ES0339000001061143EY;1;4,4
ES0339000001061144EF;1;4,4
ES0339000001061145EP;1;4,4
ES0339000001061146ED;1;2,2
ES0339000001061147EX;1;3,45
ES0339000001061148EB;1;4,4
ES0339000001061150EJ;1;5,2
ES0339000001061151EZ;1;6,57
ES0339000001061152ES;1;4,4
ES0339000001061153EQ;1;3,3
ES0339000001061155EH;1;4,4
ES0339000001061156EL;1;5,2
ES0339000001061157EC;1;6,6
ES0339000001061158EK;1;5,19
ES0339000001061159EE;1;5,19
ES0339000001061159EE;2;5,19
ES0339000001061160TT;1;3,3
ES0339000001061161TR;1;6,92
ES0339000001061161TR;2;6,92
ES0339000001061162TW;1;3,45
ES0339000001061163TA;1;5,19
ES0339000001061164TG;1;3,46
ES0339000001061165TM;1;6,9
ES0339000001061166TY;1;2,07
ES0339000001061167TF;1;4,6
ES0339000001061168TP;1;4,4
ES0339000001061169TD;1;4,6
ES0339000001061169TD;2;4,6
ES0339000001061170TX;1;4,4
ES0339000001061171TB;1;4,6
ES0339000001061172TN;1;4,6
ES0339000001061173TJ;1;10,39
ES0339000001061174TZ;1;4,4
ES0339000001061175TS;1;3,46
ES0339000001061175TS;2;3,46
ES0339000001061176TQ;1;3,45
ES0339000001061178TH;1;8,05
ES0339000001061179TL;1;6,92
ES0339000001061179TL;2;6,92
ES0339000001061180TC;1;3,46
ES0339000001061181TK;1;5,19
ES0339000001061181TK;2;5,19
ES0339000001061182TE;1;5,19
ES0339000001061183RT;1;6,57
ES0339000001061184RR;1;4,4
ES0339000001061185RW;1;5,75
ES0339000001061186RA;1;5,19
ES0339000001061186RA;2;5,19
ES0339000001061187RG;1;5,19
ES0339000001061187RG;2;5,19
ES0339000001061189RY;1;3,3
ES0339000001061190RF;1;4,6
ES0339000001061191RP;1;6,92
ES0339000001061192RD;1;4,4
ES0339000001061193RX;1;6,57
ES0339000001061194RB;1;3,46
ES0339000001061195RN;1;5,19
ES0339000001061195RN;2;5,19
ES0339000001061196RJ;1;5,19
ES0339000001061196RJ;2;5,19
ES0339000001061197RZ;1;6,92
ES0339000001061198RS;1;6,92
ES0339000001061198RS;2;6,92
ES0339000001061199RQ;1;6,57
ES0339000001061200RV;1;4,6
ES0339000001061200RV;2;4,6
ES0339000001061201RH;1;2,2
ES0339000001061202RL;1;3,45
ES0339000001061203RC;1;4,4
ES0339000001061204RK;1;3,45
ES0339000001061205RE;1;4,4
ES0339000001061207WR;1;4,4
ES0339000001061209WA;1;4,4
ES0339000001061210WG;1;4,6
ES0339000001061212WY;1;4,93
ES0339000001061213WF;1;2,2
ES0339000001061214WP;1;5,75
ES0339000001061215WD;1;4,4
ES0339000001061216WX;1;4,93
ES0339000001061217WB;1;9,2
ES0339000001061219WJ;1;3,3
ES0339000001061220WZ;1;4,6
ES0339000001061221WS;1;6,92
ES0339000001061221WS;2;6,92
ES0339000001061222WQ;1;1,15
ES0339000001061223WV;1;3,45
ES0339000001061224WH;1;4,6
ES0339000001061225WL;1;3,3
ES0339000001061226WC;1;2,3
ES0339000001061227WK;1;4,6
ES0339000001061228WE;1;4,6
ES0339000001061229AT;1;4,6
ES0339000001061230AR;1;5,5
ES0339000001061231AW;1;5,5
ES0339000001061232AA;1;4,4
ES0339000001061233AG;1;3,3
ES0339000001061234AM;1;3,3
ES0339000001061236AF;1;5,19
ES0339000001061237AP;1;1,1
ES0339000001061238AD;1;4,4
ES0339000001061239AX;1;1,1
ES0339000001061240AB;1;1,15
ES0339000001061241AN;1;3,3
ES0339000001061242AJ;1;4,4
ES0339000001061243AZ;1;3,45
ES0339000001062000JN;1;4,93
ES0339000001062002JZ;1;5,75
ES0339000001062003JS;1;1,1
ES0339000001062004JQ;1;4,6
ES0339000001062005JV;1;4,6
ES0339000001062006JH;1;3,45
ES0339000001062007JL;1;2,3
ES0339000001062010JE;1;2,2
ES0339000001062011ZT;1;3,3
ES0339000001062013ZW;1;6,92
ES0339000001062015ZG;1;3,46
ES0339000001062016ZM;1;13,85
ES0339000001062018ZF;1;1,1
ES0339000001062019ZP;1;5,5
ES0339000001062020ZD;1;2,2
ES0339000001062021ZX;1;4,4
ES0339000001062022ZB;1;4,4
ES0339000001062024ZJ;1;4,4
ES0339000001062025ZZ;1;3,45
ES0339000001062026ZS;1;6,92
ES0339000001062027ZQ;1;5,75
ES0339000001062028ZV;1;3,3
ES0339000001062030ZL;1;1,15
ES0339000001062031ZC;1;3,3
ES0339000001062032ZK;1;5,75
ES0339000001062033ZE;1;1,1
ES0339000001062034ST;1;2,2
ES0339000001062035SR;1;5,5
ES0339000001062036SW;1;6,92
ES0339000001062037SA;1;3,45
ES0339000001062038SG;1;3,3
ES0339000001062039SM;1;2,2
ES0339000001062040SY;1;2,2
ES0339000001062041SF;1;2,3
ES0339000001062042SP;1;2,3
ES0339000001062043SD;1;6,9
ES0339000001062044SX;1;1,15
ES0339000001062045SB;1;3,45
ES0339000001062046SN;1;5,5
ES0339000001062047SJ;1;5,5
ES0339000001062048SZ;1;5,5
ES0339000001062049SS;1;3,3
ES0339000001062050SQ;1;2,2
ES0339000001062051SV;1;1,15
ES0339000001062052SH;1;6,92
ES0339000001062052SH;2;6,92
ES0339000001062053SL;1;3,81
ES0339000001062054SC;1;3,3
ES0339000001062055SK;1;13,14
ES0339000001062055SK;2;13,14
ES0339000001062055SK;3;13,14
ES0339000001062056SE;1;3,46
ES0339000001062056SE;2;3,46
ES0339000001062057QT;1;3,3
ES0339000001062058QR;1;4,4
ES0339000001062059QW;1;1,97
ES0339000001062060QA;1;4,6
ES0339000001062060QA;2;4,6
ES0339000001062061QG;1;3,3
ES0339000001062062QM;1;4,4
ES0339000001062064QF;1;4,6
ES0339000001062065QP;1;6,92
ES0339000001062066QD;1;1,1
ES0339000001062067QX;1;2,3
ES0339000001062068QB;1;16,44
ES0339000001062068QB;2;16,44
ES0339000001062068QB;3;16,44
ES0339000001062069QN;1;5,19
ES0339000001062070QJ;1;4,4
ES0339000001062071QZ;1;3,3
ES0339000001062072QS;1;4,4
ES0339000001062073QQ;1;4,4
ES0339000001062074QV;1;4,6
ES0339000001062075QH;1;1,1
ES0339000001062076QL;1;4,6
ES0339000001062077QC;1;3,3
ES0339000001062078QK;1;4,4
ES0339000001062079QE;1;3,45
ES0339000001062081VR;1;4,6
ES0339000001062081VR;2;4,6
ES0339000001062085VM;1;4,4
ES0339000001062086VY;1;3,3
ES0339000001062087VF;1;4,93
ES0339000001062088VP;1;4,4
ES0339000001062089VD;1;2,2
ES0339000001062091VB;1;3,45
ES0339000001062092VN;1;2,3
ES0339000001062093VJ;1;2,2
ES0339000001062094VZ;1;3,3
ES0339000001062095VS;1;5,5
ES0339000001062096VQ;1;1,1
ES0339000001062097VV;1;2,2
ES0339000001062098VH;1;3,45
ES0339000001062099VL;1;5,5
ES0339000001062100VC;1;3,46
ES0339000001062101VK;1;5,5
ES0339000001062102VE;1;2,2
ES0339000001062103HT;1;3,45
ES0339000001062104HR;1;4,6
ES0339000001062105HW;1;5,5
ES0339000001062106HA;1;5,5
ES0339000001062107HG;1;3,45
ES0339000001062109HY;1;3,3
ES0339000001062110HF;1;4,6
ES0339000001062111HP;1;1,1
ES0339000001062113HX;1;2,3
ES0339000001062114HB;1;5,5
ES0339000001062115HN;1;4,93
ES0339000001062116HJ;1;4,93
ES0339000001062117HZ;1;4,6
ES0339000001062118HS;1;3,3
ES0339000001062119HQ;1;2,3
ES0339000001062120HV;1;3,45
ES0339000001062121HH;1;5,19
ES0339000001062122HL;1;3,3
ES0339000001062123HC;1;6,93
ES0339000001062123HC;2;6,93
ES0339000001062124HK;1;6,92
ES0339000001062124HK;2;6,92
ES0339000001062125HE;1;6,57
ES0339000001062126LT;1;6,57
ES0339000001062127LR;1;2,2
ES0339000001062128LW;1;13,85
ES0339000001062129LA;1;9,86
ES0339000001062130LG;1;9,86
ES0339000001062130LG;2;9,86
ES0339000001062130LG;3;9,86
ES0339000001062131LM;1;4,93
ES0339000001062134LP;1;4,93
ES0339000001062135LD;1;5,19
ES0339000001062136LX;1;4,4
ES0339000001062137LB;1;4,4
ES0339000001062138LN;1;5,75
ES0339000001062139LJ;1;5,75
ES0339000001062140LZ;1;5,75
ES0339000001062141LS;1;4,6
ES0339000001062142LQ;1;3,45
ES0339000001062143LV;1;4,6
ES0339000001062144LH;1;4,4
ES0339000001062145LL;1;4,4
ES0339000001062146LC;1;1,1
ES0339000001062147LK;1;4,6
ES0339000001062148LE;1;4,4
ES0339000001062149CT;1;1,15
ES0339000001062151CW;1;4,6
ES0339000001062152CA;1;4,4
ES0339000001062153CG;1;5,75
ES0339000001062154CM;1;6,57
ES0339000001062155CY;1;4,4
ES0339000001062156CF;1;4,6
ES0339000001062157CP;1;3,3
ES0339000001062159CX;1;4,6
ES0339000001062160CB;1;4,4
ES0339000001062161CN;1;4,93
ES0339000001062162CJ;1;4,4
ES0339000001062163CZ;1;3,3
ES0339000001062164CS;1;4,4
ES0339000001062165CQ;1;5,75
ES0339000001062167CH;1;6,92
ES0339000001062167CH;2;6,92
ES0339000001062168CL;1;2,3
ES0339000001062169CC;1;3,45
ES0339000001062170CK;1;5,5
ES0339000001062171CE;1;1,15
ES0339000001062172KT;1;3,45
ES0339000001062174KW;1;5,19
ES0339000001062174KW;2;5,19
ES0339000001062175KA;1;4,93
ES0339000001062176KG;1;6,57
ES0339000001062178KY;1;3,46
ES0339000001062179KF;1;4,4
ES0339000001062180KP;1;4,4
ES0339000001062181KD;1;5,5
ES0339000001062182KX;1;4,4
ES0339000001062183KB;1;4,6
ES0339000001062184KN;1;5,5
ES0339000001062185KJ;1;3,3
ES0339000001062186KZ;1;4,4
ES0339000001062191KL;1;4,6
ES0339000001062192KC;1;4,4
ES0339000001062193KK;1;10,39
ES0339000001062194KE;1;3,45
ES0339000001062195ET;1;10,39
ES0339000001062196ER;1;4,6
ES0339000001063001BR;1;4,6
ES0339000001063002BW;1;5,19
ES0339000001063002BW;2;5,19
ES0339000001063003BA;1;5,75
ES0339000001063004BG;1;4,4
ES0339000001063005BM;1;6,9
ES0339000001063006BY;1;4,6
ES0339000001063008BP;1;4,4
ES0339000001063009BD;1;4,4
ES0339000001063010BX;1;5,5
ES0339000001063011BB;1;3,46
ES0339000001063012BN;1;4,6
ES0339000001063013BJ;1;4,4
ES0339000001063014BZ;1;5,5
ES0339000001063015BS;1;3,3
ES0339000001063016BQ;1;3,29
ES0339000001063018BH;1;3,46
ES0339000001063019BL;1;4,4
ES0339000001063020BC;1;3,3
ES0339000001063021BK;1;4,6
ES0339000001063022BE;1;6,57
ES0339000001063023NT;1;3,3
ES0339000001063024NR;1;18
ES0339000001063024NR;2;18
ES0339000001063024NR;3;18
ES0339000001063025NW;1;2,42
ES0339000001063026NA;1;6,93
ES0339000001063026NA;2;6,93
ES0339000001063027NG;1;4,4
ES0339000001063028NM;1;2,2
ES0339000001063029NY;1;4,4
ES0339000001063030NF;1;3,29
ES0339000001063031NP;1;26,3
ES0339000001063031NP;2;26,3
ES0339000001063031NP;3;26,3
ES0339000001063033NX;1;5,75
ES0339000001063034NB;1;4,6
ES0339000001063035NN;1;4,6
ES0339000001063036NJ;1;4,4
ES0339000001063038NS;1;4,6
ES0339000001063039NQ;1;4,6
ES0339000001063040NV;1;4,4
ES0339000001063042NL;1;10,39
ES0339000001063043NC;1;4,4
ES0339000001063044NK;1;4,4
ES0339000001063045NE;1;4,6
ES0339000001063046JT;1;4,4
ES0339000001063047JR;1;3,3
ES0339000001063048JW;1;3,3
ES0339000001063049JA;1;2,2
ES0339000001063050JG;1;4,4
ES0339000001063051JM;1;5,75
ES0339000001063052JY;1;4,4
ES0339000001063053JF;1;3,29
ES0339000001063054JP;1;1,15
ES0339000001063056JX;1;1,1
ES0339000001063057JB;1;5,5
ES0339000001063058JN;1;6,57
ES0339000001063059JJ;1;3,29
ES0339000001063060JZ;1;3,3
ES0339000001063061JS;1;3,45
ES0339000001063062JQ;1;1,15
ES0339000001063063JV;1;3,3
ES0339000001063064JH;1;3,3
ES0339000001063065JL;1;3,45
ES0339000001063067JK;1;80,2
ES0339000001063067JK;2;80,2
ES0339000001063067JK;3;80,2
ES0339000001063068JE;1;5,19
ES0339000001063068JE;2;5,19
ES0339000001063069ZT;1;4,93
ES0339000001063070ZR;1;5,19
ES0339000001063071ZW;1;3,46
ES0339000001063071ZW;2;3,46
ES0339000001063072ZA;1;4,6
ES0339000001063073ZG;1;3,3
ES0339000001063074ZM;1;3,45
ES0339000001063075ZY;1;2,3
ES0339000001063076ZF;1;4,93
ES0339000001063077ZP;1;3,3
ES0339000001063078ZD;1;6,92
ES0339000001063078ZD;2;6,92
ES0339000001063079ZX;1;2,3
ES0339000001063080ZB;1;1,15
ES0339000001063081ZN;1;4,4
ES0339000001063082ZJ;1;24
ES0339000001063082ZJ;2;24
ES0339000001063082ZJ;3;24
ES0339000001063083ZZ;1;3,29
ES0339000001063084ZS;1;6,92
ES0339000001063085ZQ;1;4,6
ES0339000001063086ZV;1;6,93
ES0339000001063086ZV;2;6,93
ES0339000001063087ZH;1;4,6
ES0339000001063088ZL;1;6,92
ES0339000001063089ZC;1;6,57
ES0339000001063090ZK;1;6,57
ES0339000001063091ZE;1;9,86
ES0339000001063092ST;1;6,92
ES0339000001063093SR;1;6,92
ES0339000001063093SR;2;6,92
ES0339000001063094SW;1;6,57
ES0339000001063095SA;1;5,19
ES0339000001063096SG;1;6,92
ES0339000001063097SM;1;5,19
ES0339000001063097SM;2;5,19
ES0339000001063099SF;1;3,46
ES0339000001063100SP;1;3,29
ES0339000001063101SD;1;3,46
ES0339000001063103SB;1;4,6
ES0339000001063105SJ;1;4,6
ES0339000001063106SZ;1;5,5
ES0339000001063107SS;1;4,4
ES0339000001063108SQ;1;3,3
ES0339000001063109SV;1;3,45
ES0339000001063110SH;1;6,92
ES0339000001063110SH;2;6,92
ES0339000001063111SL;1;3,29
ES0339000001063112SC;1;3,29
ES0339000001063113SK;1;3,46
ES0339000001063115QT;1;6,92
ES0339000001063116QR;1;3,46
ES0339000001063116QR;2;3,46
ES0339000001063117QW;1;6,92
ES0339000001063118QA;1;3,46
ES0339000001063119QG;1;6,92
ES0339000001063120QM;1;3,46
ES0339000001063120QM;2;3,46
ES0339000001063121QY;1;6,92
ES0339000001063122QF;1;5,75
ES0339000001063123QP;1;5,19
ES0339000001063123QP;2;5,19
ES0339000001063124QD;1;6,92
ES0339000001063124QD;2;6,92
ES0339000001063126QB;1;3,29
ES0339000001063127QN;1;10,39
ES0339000001063127QN;2;10,39
ES0339000001063128QJ;1;4,93
ES0339000001063129QZ;1;3,46
ES0339000001063129QZ;2;3,46
ES0339000001063130QS;1;4,6
ES0339000001063131QQ;1;3,46
ES0339000001063132QV;1;5,19
ES0339000001063132QV;2;5,19
ES0339000001063133QH;1;2,2
ES0339000001063134QL;1;4,6
ES0339000001063135QC;1;2,3
ES0339000001063136QK;1;3,3
ES0339000001063137QE;1;3,3
ES0339000001063138VT;1;4,4
ES0339000001063139VR;1;6,92
ES0339000001063139VR;2;6,92
ES0339000001063140VW;1;3,46
ES0339000001063141VA;1;3,46
ES0339000001063141VA;2;3,46
ES0339000001063142VG;1;3,29
ES0339000001063143VM;1;3,46
ES0339000001063143VM;2;3,46
ES0339000001063144VY;1;1,15
ES0339000001063145VF;1;4,4
ES0339000001063146VP;1;19,72
ES0339000001063146VP;2;19,72
ES0339000001063146VP;3;19,72
ES0339000001063148VX;1;5,5
ES0339000001063149VB;1;5,5
ES0339000001063150VN;1;4,6
ES0339000001063151VJ;1;5,75
ES0339000001063152VZ;1;3,45
ES0339000001063153VS;1;3,46
ES0339000001063153VS;2;3,46
ES0339000001063154VQ;1;1,15
ES0339000001063155VV;1;4,6
ES0339000001063156VH;1;3,45
ES0339000001063157VL;1;4,4
ES0339000001063158VC;1;3,3
ES0339000001063159VK;1;3,46
ES0339000001063160VE;1;4,6
ES0339000001063161HT;1;2,3
ES0339000001063162HR;1;2,2
ES0339000001063163HW;1;4,6
ES0339000001063163HW;2;4,6
ES0339000001063164HA;1;3,3
ES0339000001063165HG;1;1,15
ES0339000001063166HM;1;5,75
ES0339000001063167HY;1;4,4
ES0339000001063168HF;1;5,75
ES0339000001063169HP;1;4,6
ES0339000001063170HD;1;4,93
ES0339000001063171HX;1;2,2
ES0339000001063172HB;1;4,6
ES0339000001063173HN;1;15,1
ES0339000001063173HN;2;15,1
ES0339000001063173HN;3;15,1
ES0339000001063174HJ;1;4,4
ES0339000001063175HZ;1;4,6
ES0339000001063177HQ;1;3,3
ES0339000001063178HV;1;4,4
ES0339000001063179HH;1;3,45
ES0339000001063180HL;1;4,4
ES0339000001063181HC;1;4,6
ES0339000001063182HK;1;4,6
ES0339000001063183HE;1;4,4
ES0339000001063184LT;1;4,6
ES0339000001063185LR;1;4,4
ES0339000001063186LW;1;5,75
ES0339000001063188LG;1;4,4
ES0339000001063189LM;1;5,75
ES0339000001063190LY;1;3,45
ES0339000001063191LF;1;4,4
ES0339000001063192LP;1;5,75
ES0339000001063193LD;1;4,4
ES0339000001063194LX;1;4,4
ES0339000001063195LB;1;3,45
ES0339000001063196LN;1;4,4
ES0339000001063197LJ;1;3,3
ES0339000001063198LZ;1;3,45
ES0339000001063199LS;1;2,2
ES0339000001063200LQ;1;3,45
ES0339000001064000PB;1;5,5
ES0339000001064001PN;1;4,4
ES0339000001064002PJ;1;4,4
ES0339000001064003PZ;1;4,4
ES0339000001064004PS;1;6,92
ES0339000001064005PQ;1;4,6
ES0339000001064006PV;1;5,75
ES0339000001064007PH;1;4,6
ES0339000001064008PL;1;4,4
ES0339000001064009PC;1;4,6
ES0339000001064009PC;2;4,6
ES0339000001064010PK;1;3,3
ES0339000001064011PE;1;4,6
ES0339000001064012DT;1;6,92
ES0339000001064013DR;1;3,3
ES0339000001064014DW;1;4,6
ES0339000001064015DA;1;4,4
ES0339000001064016DG;1;4,4
ES0339000001064017DM;1;4,6
ES0339000001064017DM;2;4,6
ES0339000001064018DY;1;6,57
ES0339000001064019DF;1;4,4
ES0339000001064020DP;1;3,3
ES0339000001064022DX;1;4,4
ES0339000001064023DB;1;4,6
ES0339000001064024DN;1;3,3
ES0339000001064025DJ;1;2,2
ES0339000001064026DZ;1;3,29
ES0339000001064027DS;1;1,1
ES0339000001064029DV;1;5,5
ES0339000001064030DH;1;3,3
ES0339000001064032DC;1;4,6
ES0339000001064033DK;1;5,75
ES0339000001064034DE;1;1,97
ES0339000001064035XT;1;3,45
ES0339000001064036XR;1;1,97
ES0339000001064037XW;1;4,4
ES0339000001064038XA;1;4,4
ES0339000001064039XG;1;4,6
ES0339000001064040XM;1;4,4
ES0339000001064042XF;1;1,15
ES0339000001064045XX;1;6,57
ES0339000001064047XN;1;10,39
ES0339000001064047XN;2;10,39
ES0339000001064048XJ;1;6,92
ES0339000001064048XJ;2;6,92
ES0339000001064049XZ;1;6,92
ES0339000001064049XZ;2;6,92
ES0339000001064051XQ;1;4,6
ES0339000001064052XV;1;3,3
ES0339000001064053XH;1;5,75
ES0339000001064054XL;1;10,39
ES0339000001064055XC;1;9,86
ES0339000001064056XK;1;3,3
ES0339000001064057XE;1;5,19
ES0339000001064058BT;1;4,6
ES0339000001064059BR;1;2,2
ES0339000001064060BW;1;4,6
ES0339000001064061BA;1;2,3
ES0339000001064062BG;1;5,75
ES0339000001064064BY;1;4,4
ES0339000001064065BF;1;5,75
ES0339000001064066BP;1;6,92
ES0339000001064066BP;2;6,92
ES0339000001064067BD;1;6,92
ES0339000001064068BX;1;4,4
ES0339000001064069BB;1;3,45
ES0339000001064070BN;1;3,3
ES0339000001064071BJ;1;5,5
ES0339000001064074BQ;1;10,39
ES0339000001064075BV;1;1,15
ES0339000001064076BH;1;1,1
ES0339000001064079BK;1;4,6
ES0339000001064080BE;1;2,08
ES0339000001064081NT;1;4,4
ES0339000001064084NA;1;3,45
ES0339000001064085NG;1;4,4
ES0339000001064086NM;1;3,3
ES0339000001064087NY;1;4,6
ES0339000001064088NF;1;3,45
ES0339000001064089NP;1;4,4
ES0339000001064090ND;1;0,99
ES0339000001064091NX;1;4,4
ES0339000001064092NB;1;4,6
ES0339000001064093NN;1;3,45
ES0339000001064094NJ;1;2,43
ES0339000001064096NS;1;3,45
ES0339000001064097NQ;1;9,86
ES0339000001064098NV;1;4,4
ES0339000001064099NH;1;4,6
ES0339000001064100NL;1;2,2
ES0339000001064101NC;1;6,92
ES0339000001064102NK;1;6,92
ES0339000001064103NE;1;4,4
ES0339000001064104JT;1;4,93
ES0339000001064105JR;1;5,75
ES0339000001064106JW;1;5,5
ES0339000001064107JA;1;4,6
ES0339000001064108JG;1;4,6
ES0339000001064109JM;1;6,92
ES0339000001064110JY;1;5,19
ES0339000001064111JF;1;9,86
ES0339000001064113JD;1;5,75
ES0339000001064114JX;1;5,75
ES0339000001064115JB;1;1,15
ES0339000001064116JN;1;4,4
ES0339000001064117JJ;1;4,4
ES0339000001064118JZ;1;2,2
ES0339000001064119JS;1;3,45
ES0339000001064120JQ;1;3,3
ES0339000001064121JV;1;4,4
ES0339000001064122JH;1;5,75
ES0339000001064123JL;1;2,2
ES0339000001064124JC;1;5,75
ES0339000001064125JK;1;4,4
ES0339000001064126JE;1;3,45
ES0339000001064127ZT;1;4,6
ES0339000001064128ZR;1;5,75
ES0339000001064129ZW;1;4,4
ES0339000001064130ZA;1;4,6
ES0339000001064131ZG;1;4,4
ES0339000001064132ZM;1;5,5
ES0339000001064133ZY;1;4,4
ES0339000001064134ZF;1;5,19
ES0339000001064134ZF;2;5,19
ES0339000001064135ZP;1;4,6
ES0339000001064136ZD;1;2,2
ES0339000001064137ZX;1;4,4
ES0339000001064138ZB;1;5,75
ES0339000001064139ZN;1;5,75
ES0339000001064141ZZ;1;4,4
